protein1 protein2 combined_score
9606.ENSP00000000233 9606.ENSP00000262305 952
9606.ENSP00000000412 9606.ENSP00000438085 993
9606.ENSP00000000412 9606.ENSP00000311962 911
9606.ENSP00000000412 9606.ENSP00000371175 957
9606.ENSP00000000412 9606.ENSP00000349437 991
9606.ENSP00000001008 9606.ENSP00000351646 979
9606.ENSP00000001008 9606.ENSP00000350815 945
9606.ENSP00000001008 9606.ENSP00000444810 972
9606.ENSP00000001008 9606.ENSP00000437125 942
9606.ENSP00000001008 9606.ENSP00000359385 983
9606.ENSP00000001008 9606.ENSP00000354558 961
9606.ENSP00000001008 9606.ENSP00000451828 914
9606.ENSP00000001008 9606.ENSP00000482075 990
9606.ENSP00000001008 9606.ENSP00000254322 957
9606.ENSP00000001008 9606.ENSP00000303754 937
9606.ENSP00000001008 9606.ENSP00000360609 999
9606.ENSP00000001008 9606.ENSP00000302961 998
9606.ENSP00000001008 9606.ENSP00000231509 996
9606.ENSP00000001008 9606.ENSP00000335153 999
9606.ENSP00000001008 9606.ENSP00000325120 977
9606.ENSP00000001008 9606.ENSP00000216479 973
9606.ENSP00000001008 9606.ENSP00000262719 993
9606.ENSP00000001008 9606.ENSP00000363822 928
9606.ENSP00000001146 9606.ENSP00000260682 938
9606.ENSP00000001146 9606.ENSP00000360958 927
9606.ENSP00000001146 9606.ENSP00000337450 936
9606.ENSP00000001146 9606.ENSP00000222982 935
9606.ENSP00000001146 9606.ENSP00000360317 940
9606.ENSP00000001146 9606.ENSP00000308032 941
9606.ENSP00000001146 9606.ENSP00000297785 964
9606.ENSP00000001146 9606.ENSP00000224356 919
9606.ENSP00000001146 9606.ENSP00000498424 922
9606.ENSP00000001146 9606.ENSP00000480571 932
9606.ENSP00000001146 9606.ENSP00000342007 945
9606.ENSP00000001146 9606.ENSP00000498939 939
9606.ENSP00000001146 9606.ENSP00000378488 943
9606.ENSP00000001146 9606.ENSP00000363832 921
9606.ENSP00000001146 9606.ENSP00000285979 937
9606.ENSP00000001146 9606.ENSP00000301141 936
9606.ENSP00000001146 9606.ENSP00000324648 936
9606.ENSP00000001146 9606.ENSP00000311095 926
9606.ENSP00000001146 9606.ENSP00000275764 934
9606.ENSP00000001146 9606.ENSP00000332256 973
9606.ENSP00000001146 9606.ENSP00000249750 988
9606.ENSP00000001146 9606.ENSP00000341021 956
9606.ENSP00000002125 9606.ENSP00000356972 947
9606.ENSP00000002125 9606.ENSP00000367346 920
9606.ENSP00000002165 9606.ENSP00000363603 928
9606.ENSP00000002829 9606.ENSP00000377061 992
9606.ENSP00000002829 9606.ENSP00000265371 999
9606.ENSP00000002829 9606.ENSP00000353582 999
9606.ENSP00000002829 9606.ENSP00000358696 999
