Ensembl,hgnc_symbol,entrezgene_id,entrezgene_accession,external_gene_name,description,log2FoldChange,pvalue,padj
ENSG00000108342,CSF3,1440,CSF3,CSF3,colony stimulating factor 3 [Source:HGNC Symbol;Acc:HGNC:2438],3.767492634,1.26E-14,5.53E-11
ENSG00000162344,FGF19,9965,FGF19,FGF19,fibroblast growth factor 19 [Source:HGNC Symbol;Acc:HGNC:3675],3.680801819,0.000297993,0.016273018
ENSG00000180210,F2,2147,F2,F2,"coagulation factor II, thrombin [Source:HGNC Symbol;Acc:HGNC:3535]",3.621892436,3.95E-05,0.004148507
ENSG00000136244,IL6,3569,IL6,IL6,interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018],3.482457028,7.59E-14,2.67E-10
ENSG00000156427,FGF18,8817,FGF18,FGF18,fibroblast growth factor 18 [Source:HGNC Symbol;Acc:HGNC:3674],3.228660882,4.84E-08,2.61E-05
ENSG00000231683,KILH,101927136,KILH,KILH,KRT19 interacting long noncoding RNA in hepatocellular carcinoma [Source:HGNC Symbol;Acc:HGNC:56729],3.173857236,0.000942398,0.032692499
ENSG00000233913,RPL10P9,NA,,RPL10P9,ribosomal protein L10 pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:35579],2.78008524,7.81E-05,0.006185846
ENSG00000073756,PTGS2,5743,PTGS2,PTGS2,prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605],2.619543427,3.84E-09,3.75E-06
ENSG00000078295,ADCY2,108,ADCY2,ADCY2,adenylate cyclase 2 [Source:HGNC Symbol;Acc:HGNC:233],2.514389383,2.06E-05,0.002546721
ENSG00000131096,PYY,5697,PYY,PYY,peptide YY [Source:HGNC Symbol;Acc:HGNC:9748],2.488483233,0.000440869,0.021052695
ENSG00000143340,FAM163A,148753,FAM163A,FAM163A,family with sequence similarity 163 member A [Source:HGNC Symbol;Acc:HGNC:28274],2.483525803,0.000754534,0.029334997
ENSG00000142178,SIK1,150094,SIK1,SIK1,salt inducible kinase 1 [Source:HGNC Symbol;Acc:HGNC:11142],2.414429969,8.71E-06,0.001297212
ENSG00000149968,MMP3,4314,MMP3,MMP3,matrix metallopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:7173],2.324215029,7.08E-06,0.001101051
ENSG00000235899,LINC01564,NA,,LINC01564,long intergenic non-protein coding RNA 1564 [Source:HGNC Symbol;Acc:HGNC:51361],2.27548252,8.35E-11,9.78E-08
ENSG00000147872,PLIN2,123,PLIN2,PLIN2,perilipin 2 [Source:HGNC Symbol;Acc:HGNC:248],2.219149115,2.63E-15,1.54E-11
ENSG00000004799,PDK4,5166,PDK4,PDK4,pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812],2.196252951,2.73E-08,1.78E-05
ENSG00000109321,AREG,374,AREG,AREG,amphiregulin [Source:HGNC Symbol;Acc:HGNC:651],2.145744063,2.93E-08,1.84E-05
ENSG00000095587,TLL2,7093,TLL2,TLL2,tolloid like 2 [Source:HGNC Symbol;Acc:HGNC:11844],2.108533527,3.32E-05,0.003665967
ENSG00000151012,SLC7A11,23657,SLC7A11,SLC7A11,solute carrier family 7 member 11 [Source:HGNC Symbol;Acc:HGNC:11059],2.106343144,3.44E-11,4.32E-08
ENSG00000146678,IGFBP1,3484,IGFBP1,IGFBP1,insulin like growth factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:5469],2.04845339,1.12E-05,0.00160628
ENSG00000146006,LRRTM2,26045,LRRTM2,LRRTM2,leucine rich repeat transmembrane neuronal 2 [Source:HGNC Symbol;Acc:HGNC:19409],2.01776329,0.001353021,0.040436445
ENSG00000171094,ALK,238,ALK,ALK,ALK receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:427],1.975677062,7.64E-05,0.006113844
ENSG00000133454,MYO18B,84700,MYO18B,MYO18B,myosin XVIIIB [Source:HGNC Symbol;Acc:HGNC:18150],1.946464371,6.15E-05,0.005346264
ENSG00000141469,SLC14A1,6563,SLC14A1,SLC14A1,solute carrier family 14 member 1 (Kidd blood group) [Source:HGNC Symbol;Acc:HGNC:10918],1.925008635,2.21E-05,0.002630556
ENSG00000122133,PAEP,5047,PAEP,PAEP,progestagen associated endometrial protein [Source:HGNC Symbol;Acc:HGNC:8573],1.903772413,8.16E-06,0.001235786
ENSG00000248323,LUCAT1,NA,,LUCAT1,lung cancer associated transcript 1 [Source:HGNC Symbol;Acc:HGNC:48498],1.878116674,2.76E-07,0.000108639
ENSG00000181773,GPR3,2827,GPR3,GPR3,G protein-coupled receptor 3 [Source:HGNC Symbol;Acc:HGNC:4484],1.853954047,8.61E-05,0.006665572
ENSG00000117009,KMO,8564,KMO,KMO,kynurenine 3-monooxygenase [Source:HGNC Symbol;Acc:HGNC:6381],1.793489246,4.68E-05,0.004542039
ENSG00000147509,RGS20,8601,RGS20,RGS20,regulator of G protein signaling 20 [Source:HGNC Symbol;Acc:HGNC:14600],1.772785422,4.37E-08,2.48E-05
ENSG00000106541,AGR2,10551,AGR2,AGR2,"anterior gradient 2, protein disulphide isomerase family member [Source:HGNC Symbol;Acc:HGNC:328]",1.750532442,0.001485359,0.042177005
ENSG00000101162,TUBB1,81027,TUBB1,TUBB1,tubulin beta 1 class VI [Source:HGNC Symbol;Acc:HGNC:16257],1.747908448,0.001660266,0.045094063
ENSG00000198785,GRIN3A,116443,GRIN3A,GRIN3A,glutamate ionotropic receptor NMDA type subunit 3A [Source:HGNC Symbol;Acc:HGNC:16767],1.67834535,0.000281782,0.015719884
ENSG00000164687,FABP5,2171,FABP5,FABP5,fatty acid binding protein 5 [Source:HGNC Symbol;Acc:HGNC:3560],1.673597279,0.00020087,0.012855216
ENSG00000198732,SMOC1,64093,SMOC1,SMOC1,SPARC related modular calcium binding 1 [Source:HGNC Symbol;Acc:HGNC:20318],1.647636195,0.001368703,0.040553566
ENSG00000133101,CCNA1,8900,CCNA1,CCNA1,cyclin A1 [Source:HGNC Symbol;Acc:HGNC:1577],1.644323532,1.96E-07,8.17E-05
ENSG00000189410,SH2D5,400745,SH2D5,SH2D5,SH2 domain containing 5 [Source:HGNC Symbol;Acc:HGNC:28819],1.627816809,0.000782522,0.029618997
ENSG00000041982,TNC,3371,TNC,TNC,tenascin C [Source:HGNC Symbol;Acc:HGNC:5318],1.624422723,0.000390386,0.019544896
ENSG00000219891,ZSCAN12P1,NA,,ZSCAN12P1,zinc finger and SCAN domain containing 12 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:13850],1.592961799,1.92E-07,8.17E-05
ENSG00000198535,C2CD4A,145741,C2CD4A,C2CD4A,C2 calcium dependent domain containing 4A [Source:HGNC Symbol;Acc:HGNC:33627],1.581965536,0.000377973,0.019141536
ENSG00000146674,IGFBP3,3486,IGFBP3,IGFBP3,insulin like growth factor binding protein 3 [Source:HGNC Symbol;Acc:HGNC:5472],1.576965981,0.000179661,0.011913926
ENSG00000175592,FOSL1,8061,FOSL1,FOSL1,"FOS like 1, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:13718]",1.576079658,1.81E-05,0.002284664
ENSG00000170681,CAVIN4,347273,CAVIN4,CAVIN4,caveolae associated protein 4 [Source:HGNC Symbol;Acc:HGNC:33742],1.572652377,0.001097449,0.035913351
ENSG00000226564,FTH1P20,NA,,FTH1P20,ferritin heavy chain 1 pseudogene 20 [Source:HGNC Symbol;Acc:HGNC:37639],1.562915052,0.001004545,0.034013224
ENSG00000167995,BEST1,7439,BEST1,BEST1,bestrophin 1 [Source:HGNC Symbol;Acc:HGNC:12703],1.560395101,6.06E-06,0.000977131
ENSG00000196611,MMP1,4312,MMP1,MMP1,matrix metallopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:7155],1.55135779,3.36E-06,0.00061523
ENSG00000111981,ULBP1,80329,ULBP1,ULBP1,UL16 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:14893],1.546293014,0.00124179,0.038829125
ENSG00000156535,CD109,135228,CD109,CD109,CD109 molecule [Source:HGNC Symbol;Acc:HGNC:21685],1.535622837,0.000219077,0.013414071
ENSG00000075240,GRAMD4,23151,GRAMD4,GRAMD4,GRAM domain containing 4 [Source:HGNC Symbol;Acc:HGNC:29113],1.529896326,3.45E-05,0.003742984
