GeneID	SRR12438069	SRR12438070	SRR12438071	SRR12438072	SRR12438073	SRR12438074	SRR12438075	SRR12438076	SRR12438077	SRR12438078	SRR12438079	SRR12438080
ENSG00000223972	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000227232	2	0	6	5	8	15	1	2	12	0	72	159
ENSG00000278267	2	11	16	11	32	35	1	7	22	9	14	31
ENSG00000243485	0	0	0	0	0	0	0	0	0	0	0	2
ENSG00000284332	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268020	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240361	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238009	1	0	0	0	0	1	0	0	1	0	2	1
ENSG00000239945	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233750	0	0	0	3	5	8	0	1	5	0	6	6
ENSG00000268903	6	9	14	16	19	8	0	6	28	2	77	225
ENSG00000269981	18	12	16	14	29	5	13	13	29	9	68	141
ENSG00000239906	0	0	1	3	0	0	0	0	0	0	1	2
ENSG00000241860	1	0	4	4	3	7	2	6	13	0	13	21
ENSG00000222623	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241599	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279928	0	2	2	7	5	0	0	0	0	0	8	0
ENSG00000279457	22	23	49	62	139	96	42	25	63	3	214	419
ENSG00000273874	0	1	0	0	0	3	0	0	0	0	0	0
ENSG00000228463	0	0	17	24	13	8	4	12	1	0	38	124
ENSG00000236679	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236601	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237094	2	3	25	27	23	34	4	5	25	10	32	91
ENSG00000269732	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284733	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233653	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250575	0	0	0	0	0	0	0	0	0	0	0	2
ENSG00000278757	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230021	1	0	4	2	1	3	0	2	1	1	9	12
ENSG00000235146	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225972	5	1	15	10	17	69	4	5	9	3	7	7
ENSG00000225630	711	247	1535	1579	2527	1563	670	1108	9364	1170	2001	1521
ENSG00000237973	49	41	384	358	733	590	232	524	520	25	2650	4105
ENSG00000278791	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229344	7	9	16	15	19	19	12	15	6	3	22	18
ENSG00000240409	1	1	5	1	1	6	0	4	4	1	0	0
ENSG00000248527	5293	4398	6872	7516	15504	10717	5484	9412	11279	4123	16062	9703
ENSG00000198744	21	20	15	19	25	49	13	29	21	10	24	5
ENSG00000268663	0	0	1	0	0	1	0	0	0	0	0	0
ENSG00000284662	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229376	0	0	2	5	5	3	2	1	3	0	4	4
ENSG00000228327	9	12	48	52	50	83	11	29	98	2	118	126
ENSG00000223181	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229905	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237491	5	3	26	33	30	51	19	21	20	2	38	50
ENSG00000230092	2	1	7	5	7	11	2	1	2	0	7	19
ENSG00000177757	0	1	8	6	7	3	4	7	5	0	5	4
ENSG00000228794	105	59	573	555	1512	1465	357	421	371	32	1118	377
ENSG00000225880	1	6	10	11	16	27	12	8	18	0	23	46
ENSG00000230368	1	0	2	0	10	9	1	2	1	0	2	1
ENSG00000234711	0	0	0	2	13	6	0	1	0	0	3	1
ENSG00000283040	0	2	0	0	4	1	2	1	2	0	0	0
ENSG00000272438	0	0	6	10	11	8	3	5	3	0	3	0
ENSG00000230699	2	4	17	15	54	34	23	22	17	0	17	14
ENSG00000241180	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000223764	47	67	413	563	813	642	178	440	200	5	620	36
ENSG00000187634	225	418	806	1070	1805	1212	584	1538	447	16	1908	120
ENSG00000188976	402	469	1505	1590	1758	2017	708	1179	1255	128	4225	2760
ENSG00000187961	107	122	461	546	530	528	283	411	489	19	1142	1587
ENSG00000187583	50	71	177	211	114	143	42	71	256	9	564	1230
ENSG00000187642	15	15	34	53	30	47	12	21	66	1	106	293
ENSG00000272512	14	17	127	95	90	49	21	10	226	9	391	274
ENSG00000188290	51	124	451	465	285	89	65	132	898	38	1651	2488
ENSG00000187608	14	39	233	292	192	222	45	140	349	7	803	5266
ENSG00000231702	0	0	0	0	0	0	0	1	0	0	1	1
ENSG00000224969	0	0	14	3	5	1	1	1	15	0	5	41
ENSG00000188157	2606	2202	16397	16532	7348	8038	2277	3326	15444	1305	39449	25185
ENSG00000242590	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000217801	34	93	236	301	214	351	38	185	336	42	582	2508
ENSG00000273443	14	17	44	37	37	52	4	21	44	5	56	144
ENSG00000237330	14	15	19	40	15	36	4	26	38	3	101	891
ENSG00000131591	44	74	241	331	209	175	98	143	339	30	680	1106
ENSG00000223823	2	2	6	6	10	10	4	5	11	1	13	37
ENSG00000207730	0	1	16	14	23	5	8	10	30	0	51	106
ENSG00000207607	15	6	19	18	15	22	7	11	16	0	59	124
ENSG00000198976	10	3	22	31	44	32	13	18	30	3	93	123
ENSG00000272141	54	60	237	287	350	215	154	236	413	16	541	945
ENSG00000205231	3	0	4	4	10	8	3	11	1	0	61	5
ENSG00000162571	3	4	31	29	14	19	15	43	24	0	54	48
ENSG00000186891	3	2	9	13	15	23	7	40	21	0	36	44
ENSG00000186827	0	0	3	3	4	1	2	2	1	0	11	11
ENSG00000078808	805	919	3758	3829	4246	4439	1401	2595	3764	387	11745	7128
ENSG00000176022	118	179	425	555	628	627	189	443	383	82	1470	2758
ENSG00000184163	4	4	17	21	15	12	4	5	24	0	37	68
ENSG00000260179	1	4	4	6	8	4	1	1	1	0	7	43
ENSG00000160087	216	230	780	879	1055	1029	379	651	759	117	2338	2608
ENSG00000230415	12	6	48	37	42	43	21	21	53	2	90	57
ENSG00000162572	34	65	242	253	233	137	91	108	362	5	566	626
ENSG00000131584	523	697	2765	3339	5305	3120	1862	2694	2887	152	5637	5932
ENSG00000278073	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169972	39	61	135	154	162	109	72	149	128	10	407	350
ENSG00000127054	485	535	1976	2281	2205	2107	1023	1493	2165	250	5319	9006
ENSG00000283712	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240731	19	21	97	92	159	136	54	72	117	0	201	542
ENSG00000224051	154	178	470	530	333	279	111	208	518	100	1777	1556
ENSG00000169962	2	5	10	24	20	30	9	11	25	0	67	100
ENSG00000107404	465	619	1650	1817	1700	1782	595	1200	1645	194	5836	4800
ENSG00000284372	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162576	81	84	510	564	534	317	334	301	547	11	410	73
ENSG00000175756	328	413	797	998	1060	840	448	726	1039	139	3177	1780
ENSG00000223663	0	0	0	1	0	1	0	1	0	0	2	1
ENSG00000221978	897	992	5418	5266	4453	4498	2111	2495	5417	604	12282	20628
ENSG00000224870	116	119	361	385	400	393	178	278	311	30	1130	725
