SRR_accession	QC_summary	SRX_accession	SRS_accession	SRP_accession	Experiment_title	GEO_series	sample_alias	study_accession	experiment_accession	experiment_title	sample_taxon_id	sample_scientific_name	experiment_library_strategy	experiment_library_source	experiment_library_selection	sample_accession	experiment_instrument_model	pool_member_spots	run_1_size	run_1_total_spots	run_1_total_bases
SRR12438069	WARN(1,5,7)	SRX8933741	SRS7190059	SRP277202	GSM4724849: islet preparation 1 under control condition [re-analysis]; Homo sapiens; RNA-Seq	GSE156109	GSM4724849	SRP277202	SRX8933741	GSM4724849: islet preparation 1 under control condition [re-analysis]; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS7190059	Illumina Genome Analyzer II	6785237	477096789	6785237	692094174
SRR12438070	WARN(1,5,7)	SRX8933742	SRS7190060	SRP277202	GSM4724850: islet preparation 1 under palmitate exposure [re-analysis]; Homo sapiens; RNA-Seq	GSE156109	GSM4724850	SRP277202	SRX8933742	GSM4724850: islet preparation 1 under palmitate exposure [re-analysis]; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS7190060	Illumina Genome Analyzer II	6300019	441366343	6300019	642601938
SRR12438071	PASS	SRX8933743	SRS7190063	SRP277202	GSM4724851: islet preparation 2 under control condition [re-analysis]; Homo sapiens; RNA-Seq	GSE156109	GSM4724851	SRP277202	SRX8933743	GSM4724851: islet preparation 2 under control condition [re-analysis]; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS7190063	Illumina Genome Analyzer II	29665483	1287811059	29665483	3025879266
SRR12438072	PASS	SRX8933744	SRS7190061	SRP277202	GSM4724852: islet preparation 2 under palmitate exposure [re-analysis]; Homo sapiens; RNA-Seq	GSE156109	GSM4724852	SRP277202	SRX8933744	GSM4724852: islet preparation 2 under palmitate exposure [re-analysis]; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS7190061	Illumina Genome Analyzer II	29556299	1296629673	29556299	3014742498
SRR12438073	PASS	SRX8933745	SRS7190062	SRP277202	GSM4724853: islet preparation 3 under control condition [re-analysis]; Homo sapiens; RNA-Seq	GSE156109	GSM4724853	SRP277202	SRX8933745	GSM4724853: islet preparation 3 under control condition [re-analysis]; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS7190062	Illumina Genome Analyzer II	28702757	1221746851	28702757	2927681214
SRR12438074	PASS	SRX8933746	SRS7190064	SRP277202	GSM4724854: islet preparation 3 under palmitate exposure [re-analysis]; Homo sapiens; RNA-Seq	GSE156109	GSM4724854	SRP277202	SRX8933746	GSM4724854: islet preparation 3 under palmitate exposure [re-analysis]; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS7190064	Illumina Genome Analyzer II	33066401	1400833967	33066401	3372772902
SRR12438075	WARN(5,7)	SRX8933747	SRS7190065	SRP277202	GSM4724855: islet preparation 4 under control condition [re-analysis]; Homo sapiens; RNA-Seq	GSE156109	GSM4724855	SRP277202	SRX8933747	GSM4724855: islet preparation 4 under control condition [re-analysis]; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS7190065	Illumina Genome Analyzer II	11538404	812144048	11538404	1176917208
SRR12438076	PASS	SRX8933748	SRS7190066	SRP277202	GSM4724856: islet preparation 4 under palmitate exposure [re-analysis]; Homo sapiens; RNA-Seq	GSE156109	GSM4724856	SRP277202	SRX8933748	GSM4724856: islet preparation 4 under palmitate exposure [re-analysis]; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS7190066	Illumina Genome Analyzer II	18603348	1352451521	18603348	1897541496
SRR12438077	PASS	SRX8933749	SRS7190067	SRP277202	GSM4724857: islet preparation 5 under control condition [re-analysis]; Homo sapiens; RNA-Seq	GSE156109	GSM4724857	SRP277202	SRX8933749	GSM4724857: islet preparation 5 under control condition [re-analysis]; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS7190067	Illumina Genome Analyzer II	25717722	1252539335	25717722	2623207644
SRR12438078	WARN(1,5,7)	SRX8933750	SRS7190068	SRP277202	GSM4724858: islet preparation 5 under palmitate exposure [re-analysis]; Homo sapiens; RNA-Seq	GSE156109	GSM4724858	SRP277202	SRX8933750	GSM4724858: islet preparation 5 under palmitate exposure [re-analysis]; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS7190068	Illumina Genome Analyzer II	4380242	297007373	4380242	446784684
