SeqMetric	SRR12438069	SRR12438070	SRR12438071	SRR12438072	SRR12438073	SRR12438074	SRR12438075	SRR12438076	SRR12438077	SRR12438078	SRR12438079	SRR12438080
SequenceFormat	PE	PE	PE	PE	PE	PE	PE	PE	PE	PE	PE	PE
QualityEncoding	Sanger/Illumina1.9	Sanger/Illumina1.9	Sanger/Illumina1.9	Sanger/Illumina1.9	Sanger/Illumina1.9	Sanger/Illumina1.9	Sanger/Illumina1.9	Sanger/Illumina1.9	Sanger/Illumina1.9	Sanger/Illumina1.9	Sanger/Illumina1.9	Sanger/Illumina1.9
Read1MinimumLength	51	51	51	51	51	51	51	51	51	51	101	5
Read1MedianLength	51	51	51	51	51	51	51	51	51	51	101	99
Read1MaxLength	51	51	51	51	51	51	51	51	51	51	101	101
Read2MinimumLength	51	51	51	51	51	51	51	51	51	51	101	5
Read2MedianLength	51	51	51	51	51	51	51	51	51	51	101	101
Read2MaxLength	51	51	51	51	51	51	51	51	51	51	101	101
NumReadsTotal	6785237	6300019	29665483	29556299	28702757	33066401	11538404	18603348	25717722	4380242	85796850	62463666
NumReadsQcPass	6714499	6211135	28589560	28741765	27277110	31809968	10989934	17928708	23000912	4290346	85779666	61041885
QcPassRate	98.9575%	98.5891%	96.3731%	97.2441%	95.0331%	96.2003%	95.2466%	96.3736%	89.436%	97.9477%	99.98%	97.7238%
PE_Read1_StarMapRateTest	85	82	88	89	89	89	88	87	89	84	83	92
PE_Read2_StarMapRateTest	84	82	89	89	88	89	86	84	88	85	82	92
PE_Read1_Excluded	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
PE_Read2_Excluded	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
MappingFormat	PE	PE	PE	PE	PE	PE	PE	PE	PE	PE	PE	PE
STAR_UniqMappedReads	6030006	5399270	26697772	26824934	25617854	29145560	10237155	16461054	21441409	3679940	71906086	56428621
STAR_Strandedness	Unstranded	Unstranded	Unstranded	Unstranded	Unstranded	Unstranded	Unstranded	Unstranded	Unstranded	Unstranded	Unstranded	Unstranded
STAR_UnmappedReads	100157	100417	457449	510799	251599	1240270	204833	405391	384969	329817	1418041	1543660
STAR_MultiMappedReads	590965	720938	1463600	1440752	1428158	1483352	569134	1117734	1245888	289754	12455700	3425601
STAR_NoFeatureReads	358309	348271	2222234	2406167	2360367	3010917	1144628	1302907	2070234	286780	3043162	4465241
STAR_AmbiguousReads	459374	428509	2058654	2083025	2061035	2050618	756540	1364533	1604629	242555	6524925	4493863
STAR_AssignedReads	5212323	4622490	22416884	22335742	21196452	24084025	8335987	13793614	17766546	3150605	62337999	47469517
STAR_UniqMapRate	89.8057%	86.9289%	93.3829%	93.3309%	93.917%	91.624%	93.1503%	91.8139%	93.2198%	85.7726%	83.8265%	92.4425%
STAR_AssignRate	77.6279%	74.4226%	78.4093%	77.7118%	77.7078%	75.7122%	75.8511%	76.9359%	77.2428%	73.4348%	72.6722%	77.7655%
Kallisto_Kmer	31	31	31	31	31	31	31	31	31	31	31	31
Kallisto_MappedReads	5970099	5328831	25315030	25192167	23867629	27070247	9332534	15494554	19754252	3622820	70971615	52050906
Kallisto_MapRate	88.9135%	85.7948%	88.5464%	87.65%	87.5006%	85.0999%	84.9189%	86.4231%	85.8846%	84.4412%	82.7371%	85.2708%
QC_SUMMARY	WARN(1,5,7)	WARN(1,5,7)	PASS	PASS	PASS	PASS	WARN(5,7)	PASS	PASS	WARN(1,5,7)	PASS	PASS
