Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Strain,Genotype
SRR2479474,RNA-Seq,200,6408915600,PRJNA287037,SAMN03775572,2634824519,Pancreatic islet cells,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX1059093,GSM1712001,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-11-10T00:00:00Z,GSM1712001,Bmal1flx/flx mice,SRP059509,none,Bmal1flx/flx
SRR2479475,RNA-Seq,200,7040645800,PRJNA287037,SAMN03775574,2969817247,Pancreatic islet cells,GEO,public,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX1059094,GSM1712002,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-11-10T00:00:00Z,GSM1712002,Bmal1flx/flx mice,SRP059509,none,Bmal1flx/flx
SRR2479478,RNA-Seq,200,5406695000,PRJNA287037,SAMN03775578,2233608833,Pancreatic islet cells,GEO,public,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX1059096,GSM1712004,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-11-10T00:00:00Z,GSM1712004,PdxCre;Bmal1flx/flx mice,SRP059509,none,PdxCre;Bmal1flx/flx
SRR2479480,RNA-Seq,200,6477929200,PRJNA287037,SAMN03775581,2665737062,Pancreatic islet cells,GEO,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX1059097,GSM1712005,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-11-10T00:00:00Z,GSM1712005,PdxCre;Bmal1flx/flx mice,SRP059509,none,PdxCre;Bmal1flx/flx
SRR2479481,RNA-Seq,200,6713943400,PRJNA287037,SAMN03775582,2745081223,Pancreatic islet cells,GEO,public,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX1059098,GSM1712006,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-11-10T00:00:00Z,GSM1712006,PdxCre;Bmal1flx/flx mice,SRP059509,none,PdxCre;Bmal1flx/flx
SRR2063284,RNA-Seq,278,12503799388,PRJNA287037,SAMN03775472,6214012868,Pancreatic islet cells,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX1059057,GSM1711965,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-11-10T00:00:00Z,GSM1711965,C57BL/6 wild type mice,SRP059509,C57BL/6,wild type
SRR2063285,RNA-Seq,277,9550346890,PRJNA287037,SAMN03775538,4732016493,Pancreatic islet cells,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX1059058,GSM1711966,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-11-10T00:00:00Z,GSM1711966,C57BL/6 wild type mice,SRP059509,C57BL/6,wild type
SRR2063286,RNA-Seq,276,9926992414,PRJNA287037,SAMN03775540,4928604306,Pancreatic islet cells,GEO,public,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX1059059,GSM1711967,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-11-10T00:00:00Z,GSM1711967,C57BL/6 wild type mice,SRP059509,C57BL/6,wild type
SRR2063287,RNA-Seq,279,7859666572,PRJNA287037,SAMN03775467,3909023124,Pancreatic islet cells,GEO,public,"fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX1059060,GSM1711968,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-11-10T00:00:00Z,GSM1711968,C57BL/6 wild type mice,SRP059509,C57BL/6,wild type
SRR2063288,RNA-Seq,276,6986279816,PRJNA287037,SAMN03775468,3478265914,Pancreatic islet cells,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX1059061,GSM1711969,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2015-11-10T00:00:00Z,GSM1711969,C57BL/6 wild type mice,SRP059509,C57BL/6,wild type
